timestamp_et,strategy_number,strategy_name,event_type,symbol,status,message,entry,stop,target,exit_price,r_multiple,raw
2026-05-18T22:08:37.655713-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,HOOD,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.657874-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,AMD,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.657874-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,TSLA,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.659484-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,QQQ,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.662634-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,NVDA,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.664459-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,PLTR,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.664459-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,COIN,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.667491-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,SOFI,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.670756-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,MARA,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.673095-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,RIVN,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.673095-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,AMZN,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.673095-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,MSFT,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.673095-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,META,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.676056-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,GOOGL,READY,Backtest structure created,,,,,,
2026-05-18T22:08:37.676056-04:00,5,orb_vwap_reclaim,BACKTEST_PLACEHOLDER,NFLX,READY,Backtest structure created,,,,,,
